id,policy,seed,success,steps,coverage,density,unique_visited,targets_found,efficiency,turns,collisions,revisits,max_cell_visits,avg_visits_per_cell,avg_info_gain,turn_rate,collision_rate,max_steps_without_new_info
cf22d332-81ac-4d6b-bc22-8b171cc0c029,globalutilityfrontierexploration,74761,True,934,31.23,78.16,858,3,0.306,668,0,0,0,0,0,0,0,0
64fe8fb3-a39d-42e5-9e0d-8799a4059337,frontier,74761,True,240,22.98,78.16,607,3,0.84,162,0,0,0,0,0,0,0,0
33887063-45cf-49ee-9d41-db3a504acd4b,globalutilityfrontierexploration,81235,True,838,31.09,78.32,881,3,0.35,585,0,0,0,0,0,0,0,0
3a3884dd-d971-415b-b263-ba0a7f6ee3fa,frontier,81235,True,384,32.05,78.32,889,3,0.77,255,0,0,0,0,0,0,0,0
1bce18d9-3beb-4d07-83d7-39fd79276b44,globalutilityfrontierexploration,3720,True,759,28.72,78.05,772,3,0.339,495,0,0,0,0,0,0,0,0
5463c870-1a18-45bb-8e6d-71c9834cbba7,frontier,3720,True,463,34.85,78.05,1011,3,0.726,317,0,0,0,0,0,0,0,0
9cbdb248-f606-4c49-b099-0247f9fd869e,globalutilityfrontierexploration,4490,True,894,35.14,78.21,1066,3,0.397,617,0,0,0,0,0,0,0,0
0f76826f-2e6f-4a36-9b89-ef2bebcc99c1,frontier,4490,True,351,29.24,78.21,791,3,0.749,250,0,0,0,0,0,0,0,0
74bc9607-ee76-49df-aaa8-6620fdf49fe6,globalutilityfrontierexploration,19520,True,972,30.85,77.88,954,3,0.327,674,0,0,0,0,0,0,0,0
0c15345d-9c89-4135-a7de-6c1340969ccf,frontier,19520,True,393,35.42,77.88,982,3,0.831,264,0,0,0,0,0,0,0,0
c96bb7ea-4f1a-41aa-af41-3b4e161cddb8,globalutilityfrontierexploration,73554,True,778,30.27,76.43,823,3,0.352,544,0,0,0,0,0,0,0,0
9beed538-169c-4a66-bc40-edf9eaf2a03e,frontier,73554,True,266,29.19,76.43,717,3,0.895,197,0,0,0,0,0,0,0,0
9a56a62c-dc0c-48fe-bd9e-afbd5ec1d974,globalutilityfrontierexploration,90664,True,782,27.88,78.49,864,3,0.368,567,0,0,0,0,0,0,0,0
654c6dc0-511b-4938-9bed-05e4e5053530,frontier,90664,True,354,33.82,78.49,880,3,0.826,262,0,0,0,0,0,0,0,0
154a6312-49ec-49d9-ba6a-3cc46f4d686b,globalutilityfrontierexploration,16540,False,1000,32.05,77.81,1005,2,0.335,610,0,0,0,0,0,0,0,0
73b190e5-ef60-46b8-b414-ca2926eb5197,frontier,16540,True,299,32.18,77.81,849,3,0.943,207,0,0,0,0,0,0,0,0
6c38c537-0342-4b3b-ad9c-d724c85f3296,globalutilityfrontierexploration,71196,True,686,26.37,79.5,700,3,0.34,488,0,0,0,0,0,0,0,0
6ad1d2ed-5ae9-4bb2-afda-8a5f5611c61a,frontier,71196,True,376,32.19,79.5,867,3,0.767,287,0,0,0,0,0,0,0,0
5cb735fb-c026-4215-9694-9e276c0a735c,globalutilityfrontierexploration,63083,True,539,21.4,78.29,566,3,0.349,362,0,0,0,0,0,0,0,0
5f4d95f1-6c48-42ce-8517-ef61f4c1c9ee,frontier,63083,True,203,24.65,78.29,574,3,0.938,150,0,0,0,0,0,0,0,0
